Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
42,1,6,"град София, Разсадника",2024,1-СТАЕН,Тухла,64000
42,2,6,"град София, Разсадника",2024,1-СТАЕН,Тухла,64000
42,7,8,"град София, Света Троица",2024,1-СТАЕН,Тухла,63300
42,4,6,"град София, Студентски град",2017,1-СТАЕН,Тухла,90000
42,1,5,"град София, Хаджи Димитър",2023,1-СТАЕН,Тухла,66891
42,1,17,"град София, Център",1976,1-СТАЕН,ЕПК,79900
42,2,16,"град София, Дървеница",2020,2-СТАЕН,ЕПК,80000
42,8,9,"град София, Дървеница",1985,2-СТАЕН,Панел,82000
42,7,9,"град София, Дървеница",1985,2-СТАЕН,Панел,93000
42,3,6,"град София, Дървеница",2007,2-СТАЕН,Тухла,109900
42,3,7,"град София, Дървеница",2007,2-СТАЕН,Тухла,109900
42,8,8,"град София, Люлин 5",1981,2-СТАЕН,Панел,65000
42,4,7,"град София, Люлин 7",1997,2-СТАЕН,Панел,64000
42,7,8,"град София, Младост 1",1985,2-СТАЕН,Панел,82000
42,3,8,"град София, Овча купел 1",1990,2-СТАЕН,Панел,82500
42,1,6,"град София, Редута",1970,2-СТАЕН,Тухла,90000
42,9,15,"град София, Център",2022,2-СТАЕН,Тухла,72900
42,4,6,"град София, Надежда 2",2021,"АТЕЛИЕ, ТАВАН",Тухла,65520
43,4,6,"град София, Левски",2021,1-СТАЕН,Тухла,70125
43,11,16,"град София, Зона Б-5",1981,2-СТАЕН,ЕПК,117000
43,13,14,"град София, Студентски град",2022,2-СТАЕН,ЕПК,85000
43,1,4,"град София, Витоша",2022,1-СТАЕН,Тухла,76000
43,9,16,"град София, Дружба 1",1980,1-СТАЕН,ЕПК,64000
43,5,9,"град София, Люлин 5",1981,1-СТАЕН,Панел,72000
43,5,8,"град София, Люлин 7",1984,1-СТАЕН,Панел,62000
43,2,6,"град София, Малинова долина",2022,1-СТАЕН,Тухла,110000
43,6,12,"град София, Студентски град",2019,1-СТАЕН,Тухла,81999
43,1,2,"град София, Банишора",1941,1-СТАЕН,Тухла,97750
43,2,4,"град София, Витоша",2022,1-СТАЕН,Тухла,76000
43,2,7,"град София, Витоша",2022,1-СТАЕН,Тухла,100000
43,2,5,"град София, Горубляне",2024,1-СТАЕН,Тухла,60000
43,2,5,"град София, Горубляне",2024,1-СТАЕН,Тухла,63000
43,6,6,"град София, Гоце Делчев",1982,1-СТАЕН,Панел,110000
43,5,8,"град София, Дървеница",2010,1-СТАЕН,Тухла,127000
43,9,14,"град София, Люлин 10",1986,1-СТАЕН,ЕПК,105000
