Size,Floor,TotalFloors,District,Year,Type,BuildingType,Price
42,2,8,"град София, Слатина",1986,2-СТАЕН,Панел,56000
42,2,8,"град София, Слатина",1986,2-СТАЕН,Панел,56000
42,11,17,"град София, Студентски град",2018,2-СТАЕН,Тухла,44999
42,2,8,"град София, Слатина",1986,1-СТАЕН,Панел,56000
42,2,8,"град София, Слатина",1986,1-СТАЕН,Панел,56000
42,2,8,"град София, Слатина",1986,1-СТАЕН,Панел,56000
42,10,14,"град София, Дружба 1",1985,1-СТАЕН,ЕПК,45000
42,1,5,"град София, Гео Милев",1973,2-СТАЕН,Тухла,58000
42,2,6,"град София, Дървеница",1991,2-СТАЕН,Панел,61800
42,8,8,"град София, Борово",2000,1-СТАЕН,Тухла,49900
42,4,6,"град София, Бояна",2019,1-СТАЕН,Тухла,49990
42,4,6,"град София, Бояна",2018,1-СТАЕН,Тухла,50300
42,4,6,"град София, Бояна",2018,1-СТАЕН,Тухла,50400
42,4,6,"град София, Бояна",2018,1-СТАЕН,Тухла,51000
42,3,4,"град София, Бояна",2018,1-СТАЕН,Тухла,51000
42,3,6,"град София, Витоша",2019,1-СТАЕН,Тухла,31500
42,7,11,"град София, Витоша",2019,1-СТАЕН,Тухла,43000
42,2,4,"град София, Дружба 2",2018,1-СТАЕН,Тухла,29976
42,5,7,"град София, Левски Г",2007,1-СТАЕН,Тухла,39900
42,6,14,"град София, Люлин 4",1980,1-СТАЕН,ЕПК,46499
42,4,8,"град София, Люлин 5",1983,1-СТАЕН,Панел,45000
42,3,6,"град София, Малинова долина",2019,1-СТАЕН,Тухла,31500
42,2,9,"град София, Младост 3",1987,1-СТАЕН,Панел,55000
42,3,8,"град София, Надежда 3",1975,1-СТАЕН,Панел,44800
42,4,6,"град София, Овча купел",2018,1-СТАЕН,Тухла,55000
43,4,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,59999
43,11,14,"град София, Студентски град",2017,1-СТАЕН,Тухла,50500
43,7,8,"град София, Хаджи Димитър",2018,1-СТАЕН,Тухла,58000
43,5,7,"град София, Център",2019,1-СТАЕН,Тухла,42420
43,2,6,"град София, Център",2019,1-СТАЕН,Тухла,43660
43,3,3,"град София, Център",2019,1-СТАЕН,Тухла,46990
43,2,7,"град София, Център",2019,1-СТАЕН,Тухла,51936
43,2,8,"град София, Център",2020,1-СТАЕН,Тухла,57000
43,2,4,"град София, Гоце Делчев",1972,2-СТАЕН,Тухла,59900
43,1,6,"град София, Дианабад",2010,2-СТАЕН,Тухла,60000
43,2,4,"град София, Павлово",2018,2-СТАЕН,Тухла,43000
43,1,4,"град София, Сердика",1973,2-СТАЕН,Тухла,47000
43,13,17,"град София, Студентски град",2018,2-СТАЕН,Тухла,46999
43,11,14,"град София, Студентски град",2017,2-СТАЕН,Тухла,50500
43,10,17,"град София, Студентски град",2019,1-СТАЕН,Тухла,49000
43,3,4,"град София, Център",1965,2-СТАЕН,Тухла,98980
43,1,14,"град София, Люлин 3",1990,1-СТАЕН,ЕПК,36000
43,4,8,"град София, Младост 3",1980,1-СТАЕН,Панел,60000
43,5,14,"град София, Студентски град",2019,1-СТАЕН,Тухла,42999
