Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157892140618007&slink=60chmc&f1=1,80,780,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,64999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159558687096151&slink=60chmc&f1=1,80,810,0,0,"град София, гр. Нови Искър",1980,КЪЩА,Тухла,69000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159662732848563&slink=60chmc&f1=1,80,500,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,78000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159957021133930&slink=60chmc&f1=1,80,600,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,80000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j154340465611994&slink=60chmc&f1=1,80,800,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,113000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159836657907480&slink=60chmc&f1=1,80,450,0,0,"град София, гр. Нови Искър",0,КЪЩА,Тухла,135000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j158020568164483&slink=60chmc&f1=1,80,780,0,0,"град София, м-т Щъркелово гнездо",0,КЪЩА,Тухла,34000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160313451955218&slink=60chmc&f1=1,80,126,0,0,"град София, Орландовци",1954,КЪЩА,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j159609543272466&slink=60chmc&f1=1,80,125,0,0,"град София, Орландовци",1970,КЪЩА,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160163930290300&slink=60chmc&f1=1,80,414,0,0,"град София, Република",0,КЪЩА,Тухла,43900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j147852240004448&slink=60chmc&f1=1,80,1100,0,0,"град София, с. Бистрица",0,КЪЩА,Тухла,104000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160188535290740&slink=60chmc&f1=1,80,262,0,0,"град София, с. Владая",0,КЪЩА,Тухла,40000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j143136525684805&slink=60chmc&f1=1,80,518,0,0,"град София, с. Владая",0,КЪЩА,Тухла,65000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j156992162124373&slink=60chmc&f1=1,80,700,0,0,"град София, с. Войнеговци",0,КЪЩА,Тухла,57500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j157519856914371&slink=60chmc&f1=1,80,620,0,0,"град София, с. Войнеговци",1992,КЪЩА,Тухла,105000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j153189659908641&slink=60chmc&f1=1,80,950,0,0,"град София, с. Доброславци",0,КЪЩА,Тухла,80000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1j160346763749692&slink=60chmc&f1=1,80,1100,0,0,"град София, с. Долни Богров",1960,КЪЩА,Тухла,73900
